"TIME","CH1","CH2","CH3"
-9.852e-03,-1.64,2.4,0.72
-9.850e-03,-1.74,2.4,0.8
-9.848e-03,-1.66,2.4,0.8
-9.846e-03,-1.68,2.6,0.92
-9.844e-03,-1.68,2.6,0.8
-9.842e-03,-1.66,2.5,0.84
-9.840e-03,-1.62,2.5,0.68
-9.838e-03,-1.68,2.6,0.76
-9.836e-03,-1.76,2.5,0.76
-9.834e-03,-1.68,2.5,0.8
-9.832e-03,-1.7,2.6,0.8
-9.830e-03,-1.68,2.4,0.84
-9.828e-03,-1.7,2.4,0.88
-9.826e-03,-1.68,2.6,0.8
-9.824e-03,-1.74,2.7,0.84
-9.822e-03,-1.72,2.4,0.72
-9.820e-03,-1.76,2.6,0.88
-9.818e-03,-1.66,2.3,0.84
-9.816e-03,-1.7,2.5,0.72
-9.814e-03,-1.74,2.5,0.88
-9.812e-03,-1.68,2.6,0.8
-9.810e-03,-1.72,2.6,0.76
-9.808e-03,-1.72,2.4,0.88
-9.806e-03,-1.74,2.8,0.8
-9.804e-03,-1.7,2.4,0.76
-9.802e-03,-1.68,2.5,0.88
-9.800e-03,-1.7,2.6,0.92
-9.798e-03,-1.72,2.5,0.88
-9.796e-03,-1.68,2.5,0.8
-9.794e-03,-1.7,2.5,0.76
-9.792e-03,-1.76,2.5,0.8
-9.790e-03,-1.76,2.6,0.84
-9.788e-03,-1.68,2.5,0.88
-9.786e-03,-1.64,2.4,0.88
-9.784e-03,-1.7,2.6,0.92
-9.782e-03,-1.7,2.6,0.84
-9.780e-03,-1.68,2.5,0.88
-9.778e-03,-1.78,2.4,0.84
-9.776e-03,-1.72,2.4,0.76
-9.774e-03,-1.76,2.5,0.84
-9.772e-03,-1.68,2.4,0.8
-9.770e-03,-1.7,2.5,0.84
-9.768e-03,-1.76,2.6,0.84
-9.766e-03,-1.7,2.7,0.92
-9.764e-03,-1.66,2.5,0.8
-9.762e-03,-1.66,2.5,0.8
-9.760e-03,-1.72,2.6,0.88
-9.758e-03,-1.7,2.4,0.84
-9.756e-03,-1.72,2.5,0.84
-9.754e-03,-1.8,2.6,1
-9.752e-03,-1.78,2.5,0.84
