"TIME","CH1","CH2","CH4"
-4.7540e+01,0.5288,0.316,1.4
-4.7530e+01,0.5314,0.316,1.4
-4.7520e+01,0.5284,0.332,1.4
-4.7510e+01,0.532,0.316,1.4
-4.7500e+01,0.529,0.316,1.2
-4.7490e+01,0.531,0.32,1.2
-4.7480e+01,0.5298,0.328,1.4
-4.7470e+01,0.5324,0.324,1.4
-4.7460e+01,0.5288,0.308,1.4
-4.7450e+01,0.5306,0.332,1.2
-4.7440e+01,0.5288,0.336,1.4
-4.7430e+01,0.531,0.324,0.8
-4.7420e+01,0.5292,0.32,1.4
-4.7410e+01,0.531,0.324,1.4
-4.7400e+01,0.5294,0.316,1.2
-4.7390e+01,0.5322,0.316,1.4
-4.7380e+01,0.5288,0.336,1.4
-4.7370e+01,0.532,0.328,1.6
-4.7360e+01,0.5296,0.328,1.4
-4.7350e+01,0.5314,0.34,1.4
-4.7340e+01,0.5288,0.328,1.4
-4.7330e+01,0.5324,0.332,1.4
-4.7320e+01,0.5296,0.332,1.8
-4.7310e+01,0.532,0.308,1.2
-4.7300e+01,0.53,0.324,1.4
-4.7290e+01,0.5318,0.332,1.4
-4.7280e+01,0.5306,0.324,1.4
-4.7270e+01,0.5308,0.324,1.2
-4.7260e+01,0.5296,0.308,1.4
-4.7250e+01,0.533,0.316,1.8
-4.7240e+01,0.5294,0.312,1.4
-4.7230e+01,0.5314,0.312,1.4
-4.7220e+01,0.5296,0.316,1.4
-4.7210e+01,0.5314,0.328,1.2
-4.7200e+01,0.5298,0.312,1.4
-4.7190e+01,0.532,0.308,1.4
-4.7180e+01,0.5302,0.336,1.2
-4.7170e+01,0.5316,0.32,1.2
-4.7160e+01,0.5298,0.316,1.4
-4.7150e+01,0.531,0.312,1.4
-4.7140e+01,0.529,0.316,1.4
-4.7130e+01,0.5308,0.324,1.2
-4.7120e+01,0.5292,0.328,1.8
-4.7110e+01,0.5318,0.308,1.4
-4.7100e+01,0.53,0.328,1.2
-4.7090e+01,0.532,0.332,1.4
-4.7080e+01,0.529,0.324,1
-4.7070e+01,0.5322,0.332,1.4
-4.7060e+01,0.529,0.312,2.2
-4.7050e+01,0.5314,0.316,1.4
-4.7040e+01,0.5294,0.328,1.6
-4.7030e+01,0.5316,0.32,1.4
-4.7020e+01,0.5306,0.324,1.2
-4.7010e+01,0.5316,0.324,1.4
-4.7000e+01,0.5302,0.324,1.4
-4.6990e+01,0.5316,0.324,1
-4.6980e+01,0.5296,0.324,1.4
-4.6970e+01,0.5318,0.332,1.4
-4.6960e+01,0.5292,0.316,1.2
-4.6950e+01,0.5314,0.316,1.4
-4.6940e+01,0.5294,0.316,1.2
-4.6930e+01,0.5312,0.332,1.4
-4.6920e+01,0.5292,0.332,1.4
-4.6910e+01,0.531,0.304,1.4
-4.6900e+01,0.529,0.324,1.4
-4.6890e+01,0.531,0.308,1.4
-4.6880e+01,0.5298,0.32,1.2
-4.6870e+01,0.5312,0.324,1.4
-4.6860e+01,0.5288,0.32,1.4
-4.6850e+01,0.5312,0.32,1.4
-4.6840e+01,0.5288,0.316,1.4
-4.6830e+01,0.5306,0.316,1.4
-4.6820e+01,0.5296,0.332,1.4
-4.6810e+01,0.5314,0.324,1.4
-4.6800e+01,0.5292,0.332,1.4
-4.6790e+01,0.5304,0.332,1
-4.6780e+01,0.528,0.336,1.4
-4.6770e+01,0.5318,0.332,1
-4.6760e+01,0.53,0.328,1.4
-4.6750e+01,0.5308,0.32,1.4
-4.6740e+01,0.5286,0.32,1.4
-4.6730e+01,0.5308,0.32,1.4
-4.6720e+01,0.5286,0.328,1.8
-4.6710e+01,0.5312,0.324,1.4
-4.6700e+01,0.5292,0.32,1.8
-4.6690e+01,0.5308,0.316,1.2
-4.6680e+01,0.5296,0.324,1.4
-4.6670e+01,0.5314,0.32,1.4
-4.6660e+01,0.529,0.32,1.2
-4.6650e+01,0.531,0.324,1.2
-4.6640e+01,0.5304,0.316,1.4
-4.6630e+01,0.5308,0.32,1.2
-4.6620e+01,0.53,0.32,2
-4.6610e+01,0.5308,0.328,1.4
-4.6600e+01,0.528,0.332,1.4
-4.6590e+01,0.532,0.316,1.4
-4.6580e+01,0.5296,0.328,1.2
-4.6570e+01,0.5316,0.32,1.2
-4.6560e+01,0.5298,0.332,1.4
-4.6550e+01,0.5318,0.32,1.8
-4.6540e+01,0.529,0.324,1.4
-4.6530e+01,0.5326,0.316,1.2
-4.6520e+01,0.5294,0.324,1.4
-4.6510e+01,0.5312,0.328,1.4
-4.6500e+01,0.5298,0.328,1.4
-4.6490e+01,0.5322,0.308,1.4
-4.6480e+01,0.53,0.316,1.4
-4.6470e+01,0.5322,0.328,1.4
-4.6460e+01,0.5294,0.316,1.2
-4.6450e+01,0.5312,0.32,1.4
-4.6440e+01,0.53,0.332,1.2
-4.6430e+01,0.5328,0.328,1.4
-4.6420e+01,0.53,0.32,1.2
-4.6410e+01,0.5318,0.32,1.4
-4.6400e+01,0.5298,0.336,1.2
-4.6390e+01,0.532,0.324,1.4
-4.6380e+01,0.53,0.32,1.6
-4.6370e+01,0.5316,0.328,1.4
-4.6360e+01,0.53,0.332,1
-4.6350e+01,0.532,0.308,1.4
-4.6340e+01,0.5298,0.324,2
-4.6330e+01,0.5308,0.328,1.4
-4.6320e+01,0.5304,0.324,1.4
-4.6310e+01,0.5324,0.324,1.4
-4.6300e+01,0.5298,0.324,1
-4.6290e+01,0.5314,0.332,1.6
-4.6280e+01,0.5298,0.316,1.4
-4.6270e+01,0.5308,0.328,1.4
-4.6260e+01,0.5302,0.332,1.4
-4.6250e+01,0.5316,0.328,1.4
-4.6240e+01,0.5298,0.32,1
-4.6230e+01,0.5316,0.332,1.2
-4.6220e+01,0.5308,0.316,1.2
-4.6210e+01,0.5314,0.32,1
-4.6200e+01,0.5296,0.324,1.4
-4.6190e+01,0.5316,0.324,1.2
-4.6180e+01,0.5294,0.316,1.2
-4.6170e+01,0.531,0.324,1.8
-4.6160e+01,0.5308,0.324,1.4
-4.6150e+01,0.5306,0.336,1.4
-4.6140e+01,0.5294,0.312,1.4
-4.6130e+01,0.5308,0.328,1.4
-4.6120e+01,0.5294,0.324,1.4
-4.6110e+01,0.5314,0.324,1.8
-4.6100e+01,0.5302,0.312,1.2
-4.6090e+01,0.5302,0.324,1.4
-4.6080e+01,0.5302,0.332,1.4
-4.6070e+01,0.5312,0.324,1.2
-4.6060e+01,0.5296,0.328,1.4
-4.6050e+01,0.531,0.328,1.2
-4.6040e+01,0.53,0.32,1.4
-4.6030e+01,0.5314,0.328,1.2
-4.6020e+01,0.5292,0.324,1.4
-4.6010e+01,0.5314,0.32,1.4
-4.6000e+01,0.5294,0.328,1.6
-4.5990e+01,0.5314,0.312,1.4
-4.5980e+01,0.5302,0.312,1.8
-4.5970e+01,0.5322,0.324,1.4
-4.5960e+01,0.529,0.324,1.2
-4.5950e+01,0.531,0.32,1.4
-4.5940e+01,0.5296,0.324,1.4
-4.5930e+01,0.532,0.324,1.4
-4.5920e+01,0.5292,0.328,1.2
-4.5910e+01,0.5316,0.328,1.8
-4.5900e+01,0.5296,0.312,1.2
-4.5890e+01,0.5316,0.316,1.4
-4.5880e+01,0.5296,0.32,1.8
-4.5870e+01,0.5306,0.324,1.4
-4.5860e+01,0.5302,0.316,1.4
-4.5850e+01,0.531,0.32,1.4
-4.5840e+01,0.5298,0.328,1.4
-4.5830e+01,0.5314,0.324,1.4
-4.5820e+01,0.5304,0.32,1.4
-4.5810e+01,0.532,0.324,1.4
-4.5800e+01,0.529,0.312,1.4
-4.5790e+01,0.5306,0.312,1.4
-4.5780e+01,0.529,0.324,1.4
-4.5770e+01,0.5308,0.332,1.4
-4.5760e+01,0.5292,0.332,1.4
-4.5750e+01,0.5306,0.308,1.4
-4.5740e+01,0.5288,0.312,1.4
-4.5730e+01,0.5308,0.328,1.4
-4.5720e+01,0.5298,0.312,1.2
-4.5710e+01,0.5306,0.316,1.4
-4.5700e+01,0.5302,0.316,1.2
-4.5690e+01,0.5308,0.324,1.4
-4.5680e+01,0.5294,0.324,1.4
-4.5670e+01,0.5306,0.32,1.2
-4.5660e+01,0.5292,0.32,1.4
-4.5650e+01,0.5324,0.32,1.4
-4.5640e+01,0.5296,0.32,1.4
-4.5630e+01,0.5326,0.32,1.2
-4.5620e+01,0.5296,0.332,1.4
-4.5610e+01,0.5302,0.316,1.4
-4.5600e+01,0.5296,0.312,1.4
-4.5590e+01,0.5314,0.328,1.2
-4.5580e+01,0.5296,0.324,1.4
-4.5570e+01,0.5308,0.328,1.2
-4.5560e+01,0.5294,0.316,1.2
-4.5550e+01,0.531,0.316,1.4
-4.5540e+01,0.53,0.316,1.4
-4.5530e+01,0.531,0.324,1.8
-4.5520e+01,0.5296,0.32,1.4
-4.5510e+01,0.5318,0.324,1.2
-4.5500e+01,0.53,0.32,1.4
-4.5490e+01,0.5302,0.328,1.4
-4.5480e+01,0.5296,0.308,1.4
-4.5470e+01,0.5312,0.328,1.4
-4.5460e+01,0.5286,0.328,1.8
-4.5450e+01,0.5304,0.336,1.4
-4.5440e+01,0.53,0.304,1.4
-4.5430e+01,0.531,0.328,1.4
-4.5420e+01,0.5294,0.328,1.4
-4.5410e+01,0.5312,0.328,1.6
-4.5400e+01,0.5296,0.32,1.2
-4.5390e+01,0.5308,0.324,1.2
-4.5380e+01,0.529,0.324,1.4
-4.5370e+01,0.5312,0.324,1.2
-4.5360e+01,0.5298,0.332,1.8
-4.5350e+01,0.5308,0.324,1.4
-4.5340e+01,0.529,0.328,1.4
-4.5330e+01,0.5316,0.316,1.2
-4.5320e+01,0.5298,0.332,0.8
-4.5310e+01,0.5304,0.316,1.2
-4.5300e+01,0.5294,0.316,1.4
-4.5290e+01,0.5304,0.312,1.6
-4.5280e+01,0.5292,0.32,1.4
-4.5270e+01,0.5312,0.312,1.4
-4.5260e+01,0.5292,0.304,1.4
-4.5250e+01,0.53,0.324,1.4
-4.5240e+01,0.5288,0.312,1.4
-4.5230e+01,0.5302,0.32,1.4
-4.5220e+01,0.5304,0.316,1.4
-4.5210e+01,0.53,0.328,1.2
-4.5200e+01,0.5296,0.332,1.4
-4.5190e+01,0.5304,0.328,1.4
-4.5180e+01,0.5302,0.308,1.2
-4.5170e+01,0.5312,0.324,1.4
-4.5160e+01,0.529,0.308,1.4
